時間(秒),総合COP左右X(cm),総合COP前後Y(cm),左プレートCOP左右X(cm),左プレートCOP前後Y(cm),左荷重(kgf),右プレートCOP左右X(cm),右プレートCOP前後Y(cm),右荷重(kgf)
1.36,-2.297,-7.468,-20.343,-7.355,24.849,17.047,-7.589,23.18
1.37,-2.297,-7.464,-20.349,-7.348,24.839,17.047,-7.589,23.18
1.38,-2.298,-7.475,-20.343,-7.355,24.849,17.053,-7.603,23.17
1.39,-2.299,-7.478,-20.336,-7.362,24.859,17.053,-7.603,23.17
1.4,-2.283,-7.465,-20.334,-7.333,24.888,17.057,-7.605,23.229
1.41,-2.293,-7.46,-20.336,-7.329,24.937,17.069,-7.602,23.239
1.42,-2.289,-7.475,-20.33,-7.336,24.947,17.053,-7.624,23.268
1.43,-2.287,-7.482,-20.33,-7.336,24.947,17.042,-7.638,23.287
1.44,-2.255,-7.481,-20.33,-7.336,24.947,17.075,-7.636,23.326
1.45,-2.255,-7.487,-20.336,-7.348,24.937,17.075,-7.636,23.326
1.46,-2.254,-7.47,-20.349,-7.315,24.917,17.075,-7.636,23.326
1.47,-2.254,-7.47,-20.349,-7.315,24.917,17.075,-7.636,23.326
1.48,-2.236,-7.473,-20.328,-7.321,24.898,17.075,-7.636,23.326
1.49,-2.229,-7.464,-20.323,-7.317,24.878,17.086,-7.621,23.307
1.5,-2.249,-7.456,-20.336,-7.303,24.859,17.066,-7.621,23.278
1.51,-2.262,-7.451,-20.336,-7.303,24.859,17.064,-7.609,23.248
1.52,-2.25,-7.464,-20.323,-7.317,24.878,17.066,-7.621,23.278
1.53,-2.237,-7.449,-20.328,-7.321,24.898,17.08,-7.587,23.317
1.54,-2.245,-7.441,-20.338,-7.318,24.908,17.075,-7.573,23.326
1.55,-2.233,-7.45,-20.328,-7.321,24.898,17.064,-7.588,23.346
1.56,-2.223,-7.455,-20.317,-7.324,24.888,17.058,-7.595,23.356
1.57,-2.223,-7.455,-20.317,-7.324,24.888,17.058,-7.595,23.356
1.58,-2.222,-7.448,-20.33,-7.31,24.868,17.058,-7.595,23.356
1.59,-2.223,-7.441,-20.336,-7.303,24.859,17.064,-7.588,23.346
1.6,-2.226,-7.434,-20.336,-7.303,24.859,17.075,-7.573,23.326
1.61,-2.215,-7.424,-20.345,-7.285,24.82,17.075,-7.573,23.326
1.62,-2.197,-7.427,-20.323,-7.29,24.8,17.075,-7.573,23.326
1.63,-2.197,-7.427,-20.323,-7.29,24.8,17.075,-7.573,23.326
1.64,-2.197,-7.427,-20.323,-7.29,24.8,17.075,-7.573,23.326
1.65,-2.196,-7.438,-20.311,-7.304,24.82,17.069,-7.581,23.336
1.66,-2.214,-7.452,-20.326,-7.306,24.849,17.064,-7.609,23.346
1.67,-2.224,-7.457,-20.336,-7.303,24.859,17.069,-7.622,23.336
1.68,-2.224,-7.457,-20.336,-7.303,24.859,17.069,-7.622,23.336
1.69,-2.227,-7.475,-20.317,-7.324,24.888,17.075,-7.636,23.326
1.7,-2.227,-7.475,-20.317,-7.324,24.888,17.075,-7.636,23.326
1.71,-2.228,-7.471,-20.317,-7.324,24.888,17.08,-7.629,23.317
1.72,-2.23,-7.464,-20.317,-7.324,24.888,17.091,-7.614,23.297
1.73,-2.23,-7.464,-20.317,-7.324,24.888,17.091,-7.614,23.297
1.74,-2.25,-7.474,-20.323,-7.336,24.878,17.066,-7.621,23.278
1.75,-2.251,-7.467,-20.317,-7.324,24.888,17.066,-7.621,23.278
1.76,-2.25,-7.474,-20.323,-7.336,24.878,17.066,-7.621,23.278
1.77,-2.279,-7.466,-20.338,-7.318,24.908,17.053,-7.624,23.268
1.78,-2.27,-7.471,-20.325,-7.332,24.927,17.066,-7.621,23.278
1.79,-2.289,-7.475,-20.33,-7.336,24.947,17.053,-7.624,23.268
1.8,-2.289,-7.475,-20.33,-7.336,24.947,17.053,-7.624,23.268
1.81,-2.292,-7.468,-20.33,-7.336,24.947,17.064,-7.609,23.248
